run_name,status,timestamp,hardware,context_management,model,nvidia_endpoint,skill_deletion,skill_merging,enable_skill_refinement,enable_l1_skill_unit_test_gc,max_iterations,total_attempted,total_completed,total_correct,correct_rate,correct_rate_basis,outcomes_source,best_speedup_overall,best_runtime_overall,suspicious_speedup_count,workspace_count,workspaces_finished,total_wall_time_sec,total_wall_time_hours,avg_wall_time_sec,avg_wall_time_min,problems_timed_this_session,l1_entry_count,l1_active_count,merge_count,deleted_count,refined_count,deletion_event_count,merge_events_total,catalog_compression_ratio,problem_count,iteration_count,final_iteration,hack_iteration_count,problems_with_hack,speedup_current_mean,speedup_current_median,speedup_current_geomean,speedup_current_n,speedup_best_mean,speedup_best_median,speedup_best_geomean,speedup_best_n,fast_p_best@0.0,fast_p_current@0.0,fast_p_best@0.5,fast_p_current@0.5,fast_p_best@0.8,fast_p_current@0.8,fast_p_best@1.0,fast_p_current@1.0,fast_p_best@1.5,fast_p_current@1.5,fast_p_best@2.0,fast_p_current@2.0,performance_stats_source,warnings
base_agent_gpt_oss_120b_compress_itr30_GH200_2026_08_22_20_31,complete,2026-08-22T20:31:27.100878+00:00,NVIDIA GH200 144G HBM3e,compress_trigger,gpt-oss-120b,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,6.447964,0.442,0,50,50,184116.435,51.1435,3682.329,61.3721,50,466,466,0,0,0,0,0,1.0,50,30,30,19,12,2.150993,1.192221,1.558131,38,1.946666,1.144824,1.436818,50,1.0,0.76,0.98,0.72,0.86,0.7,0.7,0.58,0.26,0.24,0.24,0.22,generated,
base_agent_gpt_oss_120b_deletion_itr30_GH200_2026_08_22_20_31,complete,2026-08-22T20:31:04.451731+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,True,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,0.897407,0.887,0,50,50,208899.629,58.0277,4177.993,69.6332,50,559,36,0,523,0,523,0,0.064401,50,30,30,10,7,1.531276,1.006061,1.201635,39,1.472089,1.02454,1.206746,49,0.98,0.78,0.98,0.78,0.82,0.62,0.62,0.4,0.18,0.18,0.1,0.1,generated,
base_agent_gpt_oss_120b_folding_itr30_GH200_2026_08_22_20_37,complete,2026-08-22T20:37:12.461967+00:00,NVIDIA GH200 144G HBM3e,folding,gpt-oss-120b,inference,False,False,False,False,30,50,50,47,0.94,total_attempted,run_summary,3.24515,0.567,0,50,50,204176.865,56.7158,4083.537,68.059,50,588,588,0,0,0,0,0,1.0,50,30,30,20,12,1.850027,1.10755,1.160579,34,2.022985,1.202703,1.521133,47,0.94,0.68,0.94,0.6,0.76,0.54,0.66,0.42,0.32,0.18,0.26,0.16,generated,
base_agent_gpt_oss_120b_itr30_GH200_2026_08_22_20_24,complete,2026-08-22T20:24:56.998273+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,7.054632,0.421,0,50,50,182825.867,50.785,3656.517,60.942,50,600,600,0,0,0,0,0,1.0,50,30,30,19,15,2.108764,1.263158,1.53378,29,1.950495,1.072966,1.388504,48,0.96,0.58,0.94,0.58,0.74,0.5,0.6,0.4,0.26,0.2,0.2,0.14,generated,
base_agent_gpt_oss_120b_l2_itr30_GH200_2026_08_22_20_34,complete,2026-08-22T20:34:30.584190+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,False,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,6.570796,0.452,0,50,50,199173.423,55.326,3983.468,66.3911,50,662,662,0,0,0,0,0,1.0,50,30,30,30,20,2.231573,1.183761,1.5253,29,1.87482,1.095238,1.333225,49,0.98,0.58,0.94,0.56,0.78,0.48,0.6,0.36,0.24,0.2,0.2,0.16,generated,
base_agent_gpt_oss_120b_markov_itr30_GH200_2026_08_22_20_25,complete,2026-08-22T20:25:19.939211+00:00,NVIDIA GH200 144G HBM3e,markov_report,gpt-oss-120b,inference,False,False,False,False,30,50,50,46,0.92,total_attempted,run_summary,1.379549,0.577,0,50,50,192597.536,53.4993,3851.951,64.1992,50,380,380,0,0,0,0,0,1.0,50,30,30,17,14,1.465066,0.976103,1.042216,33,1.369453,1.0,1.063622,46,0.92,0.66,0.88,0.62,0.7,0.44,0.44,0.32,0.14,0.12,0.1,0.1,generated,
base_agent_gpt_oss_120b_merge_sim08_itr30_GH200_2026_08_22_20_28,complete,2026-08-22T20:28:00.459661+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,False,True,False,False,30,50,50,50,1.0,total_attempted,run_summary,5.501931,0.518,0,50,50,203506.243,56.5295,4070.125,67.8354,50,658,170,82,0,0,0,207,0.258359,50,30,30,27,14,1.720361,1.025308,1.217004,32,1.728758,1.039909,1.300025,50,1.0,0.64,0.98,0.62,0.82,0.5,0.64,0.4,0.24,0.14,0.18,0.1,generated,
base_agent_gpt_oss_120b_refinement_itr30_GH200_2026_08_22_20_34,complete,2026-08-22T20:34:08.317317+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,False,False,True,False,30,50,50,48,0.96,total_attempted,run_summary,9.824869,0.571,0,50,50,201509.016,55.9747,4030.18,67.1697,50,692,588,0,0,112,0,0,0.849711,50,30,30,23,13,1.869996,1.044231,1.306131,24,1.805259,1.075157,1.352232,48,0.96,0.48,0.96,0.46,0.82,0.44,0.66,0.28,0.24,0.16,0.18,0.12,generated,
base_agent_gpt_oss_120b_selective_r5_itr30_GH200_2026_08_22_20_28,complete,2026-08-22T20:28:24.071079+00:00,NVIDIA GH200 144G HBM3e,selective_retention,gpt-oss-120b,inference,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,6.492027,0.439,0,50,50,203146.697,56.4296,4062.934,67.7156,50,550,550,0,0,0,0,0,1.0,50,30,30,20,15,1.803694,1.053097,1.259861,35,1.691763,1.056906,1.299571,48,0.96,0.7,0.94,0.64,0.78,0.62,0.66,0.46,0.24,0.2,0.18,0.16,generated,
smoke_truncation_p2_itr5_GH200_2026_08_22_18_20,complete,2026-08-22T18:20:47.411310+00:00,,truncation,gpt-oss-120b,inference,False,False,False,False,5,2,2,0,0.0,total_attempted,run_summary,0.0,,0,2,2,815.929,0.2266,407.965,6.7994,2,5,5,0,0,0,0,0,1.0,2,5,5,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,generated,
