run_name,status,timestamp,hardware,context_management,model,nvidia_endpoint,skill_deletion,skill_merging,enable_skill_refinement,enable_l1_skill_unit_test_gc,max_iterations,total_attempted,total_completed,total_correct,correct_rate,correct_rate_basis,outcomes_source,best_speedup_overall,best_runtime_overall,suspicious_speedup_count,workspace_count,workspaces_finished,total_wall_time_sec,total_wall_time_hours,avg_wall_time_sec,avg_wall_time_min,problems_timed_this_session,l1_entry_count,l1_active_count,merge_count,deleted_count,refined_count,deletion_event_count,merge_events_total,catalog_compression_ratio,problem_count,iteration_count,final_iteration,hack_iteration_count,problems_with_hack,speedup_current_mean,speedup_current_median,speedup_current_geomean,speedup_current_n,speedup_best_mean,speedup_best_median,speedup_best_geomean,speedup_best_n,fast_p_best@0.0,fast_p_current@0.0,fast_p_best@0.5,fast_p_current@0.5,fast_p_best@0.8,fast_p_current@0.8,fast_p_best@1.0,fast_p_current@1.0,fast_p_best@1.5,fast_p_current@1.5,fast_p_best@2.0,fast_p_current@2.0,performance_stats_source,warnings
base_agent_gpt_5_6_terra_r2_compress_itr30_GH200_2026_08_25_10_43,complete,2026-08-25T10:43:06.095609+00:00,NVIDIA GH200 144G HBM3e,compress_trigger,gpt-5.6-terra,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,29.166667,0.132,8,50,50,217976.207,60.5489,4359.524,72.6587,50,240,240,0,0,0,0,0,1.0,50,30,30,30,3,4.888215,1.728155,2.463687,47,5.381783,1.787819,2.631945,50,1.0,0.94,1.0,0.92,0.94,0.88,0.88,0.76,0.6,0.56,0.44,0.4,generated,
base_agent_gpt_5_6_terra_r2_deletion_itr30_GH200_2026_08_25_10_43,complete,2026-08-25T10:43:29.706972+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-5.6-terra,inference,True,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,4.040609,0.197,7,50,50,249224.304,69.229,4984.486,83.0748,50,326,12,0,314,0,314,0,0.03681,50,30,30,40,3,4.663332,2.050439,2.665925,45,4.919426,2.050439,2.741879,49,0.98,0.88,0.98,0.86,0.94,0.84,0.86,0.74,0.68,0.62,0.54,0.46,generated,
base_agent_gpt_5_6_terra_r2_folding_itr30_GH200_2026_08_25_10_43,complete,2026-08-25T10:43:52.816911+00:00,NVIDIA GH200 144G HBM3e,folding,gpt-5.6-terra,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,23.053892,0.167,8,50,50,235596.556,65.4435,4711.931,78.5322,50,392,392,0,0,0,0,0,1.0,50,30,30,8,2,4.920379,1.804382,2.429799,50,5.472425,1.8239,2.647819,50,1.0,1.0,1.0,0.98,0.94,0.9,0.82,0.78,0.62,0.58,0.46,0.46,generated,
base_agent_gpt_5_6_terra_r2_itr30_GH200_2026_08_25_10_41,complete,2026-08-25T10:41:56.249546+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-5.6-terra,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,26.551724,0.145,7,50,50,219895.654,61.0821,4397.913,73.2986,50,335,335,0,0,0,0,0,1.0,50,30,30,26,5,4.462915,1.807498,2.523931,46,5.512682,1.974604,2.841401,50,1.0,0.92,1.0,0.9,0.96,0.88,0.9,0.8,0.64,0.56,0.5,0.44,generated,
base_agent_gpt_5_6_terra_r2_markov_itr30_GH200_2026_08_25_10_42,complete,2026-08-25T10:42:20.023397+00:00,NVIDIA GH200 144G HBM3e,markov_report,gpt-5.6-terra,inference,False,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,29.615385,0.13,3,50,50,219164.732,60.8791,4383.295,73.0549,50,354,354,0,0,0,0,0,1.0,50,30,30,31,2,2.987835,1.460077,1.712202,46,3.335191,1.43299,1.821509,49,0.98,0.92,0.98,0.92,0.88,0.78,0.76,0.66,0.48,0.44,0.26,0.26,generated,
base_agent_gpt_5_6_terra_r2_merge_sim08_itr30_GH200_2026_08_25_10_44,complete,2026-08-25T10:44:41.468749+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-5.6-terra,inference,False,True,False,False,30,50,50,50,1.0,total_attempted,run_summary,9.533679,0.193,5,50,50,230830.751,64.1197,4616.615,76.9436,50,402,90,57,0,0,0,116,0.223881,50,30,30,7,3,4.60693,2.097401,2.770952,50,4.83811,2.139464,2.971228,50,1.0,1.0,1.0,1.0,0.94,0.92,0.9,0.86,0.74,0.72,0.56,0.54,generated,
base_agent_gpt_5_6_terra_r2_merge_sim09_itr30_GH200_2026_08_25_10_45,complete,2026-08-25T10:45:04.693928+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-5.6-terra,inference,False,True,False,False,30,50,50,50,1.0,total_attempted,run_summary,4.824242,0.165,4,50,50,225469.197,62.6303,4509.384,75.1564,50,352,319,14,0,0,0,27,0.90625,50,30,30,36,4,3.095322,1.902326,2.089195,45,4.459759,1.946567,2.594674,50,1.0,0.9,1.0,0.9,0.94,0.78,0.92,0.76,0.66,0.54,0.48,0.4,generated,
base_agent_gpt_5_6_terra_r2_refinement_itr30_GH200_2026_08_25_10_44,complete,2026-08-25T10:44:18.070968+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-5.6-terra,inference,False,False,True,False,30,50,50,50,1.0,total_attempted,run_summary,27.112676,0.142,6,50,50,230301.521,63.9726,4606.03,76.7672,50,365,344,0,0,21,0,0,0.942466,50,30,30,21,4,5.082559,1.886792,2.657153,47,5.199306,1.908019,2.730937,50,1.0,0.94,1.0,0.92,0.96,0.88,0.9,0.82,0.7,0.62,0.48,0.44,generated,
base_agent_gpt_5_6_terra_r2_selective_r5_itr30_GH200_2026_08_25_10_42,complete,2026-08-25T10:42:43.102748+00:00,NVIDIA GH200 144G HBM3e,selective_retention,gpt-5.6-terra,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,22.313433,0.268,6,50,50,224315.756,62.3099,4486.315,74.7719,50,249,249,0,0,0,0,0,1.0,50,30,30,11,3,4.401575,1.715385,2.379718,49,4.618566,1.735345,2.473823,50,1.0,0.98,1.0,0.96,0.96,0.94,0.9,0.8,0.64,0.58,0.42,0.42,generated,
base_agent_gpt_5_6_terra_r3_compress_itr30_GH200_2026_08_25_10_43,complete,2026-08-25T10:43:05.560139+00:00,NVIDIA GH200 144G HBM3e,compress_trigger,gpt-5.6-terra,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,19.154229,0.201,7,50,50,210989.171,58.6081,4219.783,70.3297,50,245,245,0,0,0,0,0,1.0,50,30,30,30,2,3.957431,1.893519,2.154881,47,4.725718,1.938452,2.549447,50,1.0,0.94,1.0,0.9,0.94,0.86,0.84,0.74,0.6,0.54,0.46,0.42,generated,
