run_name,model,n_problems,n_evals,n_flipped_evals,stored_fast_p_best@0.0,stored_fast_p_best@1.0,stored_fast_p_best@2.0,stored_best_geomean,stored_n_correct,uniform_fast_p_best@0.0,uniform_fast_p_best@1.0,uniform_fast_p_best@2.0,uniform_best_geomean,uniform_n_correct
base_agent_gpt_5_6_terra_compress_itr30_GH200_2026_08_22_21_17,terra,35,1042,58,0.9143,0.8,0.5429,2.5625,32,1.0,0.8857,0.6286,3.1245,35
base_agent_gpt_5_6_terra_deletion_itr30_GH200_2026_08_22_21_20,terra,32,939,41,1.0,0.9375,0.3438,2.0648,32,1.0,0.9375,0.4062,2.6052,32
base_agent_gpt_5_6_terra_itr30_GH200_2026_08_22_21_08,terra,36,1063,21,1.0,0.8611,0.4722,2.2552,36,1.0,0.8611,0.5,2.7293,36
base_agent_gpt_5_6_terra_l2_itr30_GH200_2026_08_22_21_23,terra,36,1054,32,1.0,0.8056,0.3333,1.8462,36,1.0,0.8056,0.4167,2.3344,36
base_agent_gpt_5_6_terra_markov_itr30_GH200_2026_08_22_21_11,terra,35,1027,45,1.0,0.8571,0.2857,1.7746,35,1.0,0.8571,0.3143,2.0524,35
base_agent_gpt_5_6_terra_selective_r5_itr30_GH200_2026_08_22_21_14,terra,34,1017,51,0.9706,0.8235,0.3235,1.948,33,1.0,0.8529,0.3824,2.2767,34
base_agent_gpt_oss_120b_compress_itr30_GH200_2026_08_22_21_20,gpt-oss-120b,41,1230,0,1.0,0.7561,0.1707,1.3506,41,1.0,0.7561,0.1707,1.3506,41
base_agent_gpt_oss_120b_deletion_itr30_GH200_2026_08_22_21_23,gpt-oss-120b,34,998,0,1.0,0.7059,0.2059,1.4369,34,1.0,0.7059,0.2059,1.4369,34
base_agent_gpt_oss_120b_folding_itr30_GH200_2026_08_22_21_11,gpt-oss-120b,17,498,0,0.9412,0.8235,0.1765,1.5811,16,0.9412,0.8235,0.1765,1.5811,16
base_agent_gpt_oss_120b_itr30_GH200_2026_08_22_21_07,gpt-oss-120b,39,1165,13,0.9231,0.6667,0.1282,1.2643,36,0.9231,0.6667,0.1282,1.3066,36
base_agent_gpt_oss_120b_l2_itr30_GH200_2026_08_22_21_32,gpt-oss-120b,40,1179,0,0.95,0.65,0.225,1.402,38,0.95,0.65,0.225,1.402,38
base_agent_gpt_oss_120b_markov_itr30_GH200_2026_08_22_21_14,gpt-oss-120b,43,1262,7,0.9302,0.6744,0.093,1.1728,40,0.9302,0.6744,0.093,1.1815,40
base_agent_gpt_oss_120b_merge_sim08_itr30_GH200_2026_08_22_21_29,gpt-oss-120b,39,1161,3,0.9487,0.641,0.1795,1.3332,37,0.9487,0.641,0.1795,1.3439,37
base_agent_gpt_oss_120b_refinement_itr30_GH200_2026_08_22_21_26,gpt-oss-120b,21,606,0,1.0,0.8571,0.3333,2.0856,21,1.0,0.8571,0.3333,2.0856,21
base_agent_gpt_oss_120b_selective_r5_itr30_GH200_2026_08_22_21_17,gpt-oss-120b,22,643,0,1.0,0.8182,0.2727,1.6543,22,1.0,0.8182,0.2727,1.6543,22
