run_name,status,timestamp,hardware,context_management,model,nvidia_endpoint,skill_deletion,skill_deletion_rules,skill_merging,enable_skill_refinement,enable_l1_skill_unit_test_gc,enable_l2,l2_render,l2_use_hit_rate,l2_min_hit_rate,l2_standing_cap,l2_dedup_similarity,l2_judge,l2_freeze,redesign_l2,l2_standing_count,max_iterations,total_attempted,total_completed,total_correct,correct_rate,correct_rate_basis,outcomes_source,best_speedup_overall,best_runtime_overall,suspicious_speedup_count,workspace_count,workspaces_finished,total_wall_time_sec,total_wall_time_hours,avg_wall_time_sec,avg_wall_time_min,problems_timed_this_session,l1_entry_count,l1_active_count,merge_count,deleted_count,refined_count,deletion_event_count,merge_events_total,catalog_compression_ratio,problem_count,iteration_count,final_iteration,hack_iteration_count,problems_with_hack,speedup_current_mean,speedup_current_median,speedup_current_geomean,speedup_current_n,speedup_best_mean,speedup_best_median,speedup_best_geomean,speedup_best_n,fast_p_best@0.0,fast_p_current@0.0,fast_p_best@0.5,fast_p_current@0.5,fast_p_best@0.8,fast_p_current@0.8,fast_p_best@1.0,fast_p_current@1.0,fast_p_best@1.5,fast_p_current@1.5,fast_p_best@2.0,fast_p_current@2.0,performance_stats_source,warnings
base_agent_gpt_oss_120b_compress_itr30_GH200_2026_08_22_21_20,complete,2026-08-23T16:01:18.522050+00:00,NVIDIA GH200 144G HBM3e,compress_trigger,gpt-oss-120b,inference,False,both,False,False,False,False,verbatim,,,,,,,,0,30,50,50,50,1.0,total_attempted,run_summary,7.159624,0.426,0,50,50,209754.246,58.2651,4195.085,69.9181,47,439,439,0,0,0,0,0,1.0,50,30,30,0,0,1.479862,1.182796,1.263425,39,1.625585,1.189844,1.335534,50,1.0,0.78,0.98,0.78,0.84,0.68,0.78,0.58,0.28,0.2,0.16,0.1,generated,
base_agent_gpt_oss_120b_deletion_itr30_GH200_2026_08_22_21_23,complete,2026-08-27T01:06:30.775958+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,True,both,False,False,False,False,verbatim,,,,,,,,0,30,50,50,50,1.0,total_attempted,run_summary,5.615385,0.52,1,50,50,209667.134,58.2409,4123.47,68.7245,1,545,35,0,510,0,523,0,0.06422,50,30,30,9,1,2.044,1.180398,1.481865,31,1.996922,1.09954,1.381654,50,1.0,0.62,1.0,0.58,0.88,0.58,0.7,0.46,0.22,0.18,0.16,0.12,generated,
base_agent_gpt_oss_120b_deletion_unittest_r1_itr30_GH200_2026_08_31_08_35,partial,2026-08-31T08:35,NVIDIA GH200 144G HBM3e,,,,,both,,,,,,,,,,,,,,30,29,28,28,1.0,workspaces_finished,run_finished_markers,,,0,29,28,99241.746,27.5672,3544.348,59.0725,28,282,132,0,150,0,150,0,0.468085,29,30,30,0,0,1.676205,1.019892,1.273127,23,1.728471,1.089286,1.424352,29,1.0,0.793103,1.0,0.758621,0.965517,0.689655,0.827586,0.517241,0.310345,0.206897,0.241379,0.172414,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 28 finished problems, not the full batch)"
base_agent_gpt_oss_120b_deletion_unittest_r2_itr30_GH200_2026_08_31_08_36,partial,2026-08-31T08:36,NVIDIA GH200 144G HBM3e,,,,,both,,,,,,,,,,,,,,30,35,34,34,1.0,workspaces_finished,run_finished_markers,,,0,35,34,101028.575,28.0635,2971.429,49.5238,34,387,191,0,196,0,196,0,0.49354,35,30,30,0,0,1.141767,1.024561,0.892481,25,1.288954,1.018051,1.129888,35,1.0,0.714286,1.0,0.6,0.857143,0.514286,0.657143,0.4,0.114286,0.057143,0.057143,0.028571,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 34 finished problems, not the full batch)"
base_agent_gpt_oss_120b_deletion_unittest_r3_itr30_GH200_2026_08_31_08_36,partial,2026-08-31T08:36,NVIDIA GH200 144G HBM3e,,,,,both,,,,,,,,,,,,,,30,34,33,31,0.939394,workspaces_finished,run_finished_markers,,,0,34,33,101538.006,28.205,3076.909,51.2818,33,396,207,0,189,0,189,0,0.522727,34,30,30,0,0,3.081338,1.207849,1.867652,21,2.527622,1.131138,1.653668,32,0.941176,0.617647,0.941176,0.558824,0.823529,0.529412,0.647059,0.411765,0.294118,0.294118,0.264706,0.264706,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 33 finished problems, not the full batch)"
base_agent_gpt_oss_120b_deletion_unused_r1_itr30_GH200_2026_08_31_08_35,partial,2026-08-31T08:35,NVIDIA GH200 144G HBM3e,,,,,both,,,,,,,,,,,,,,30,35,34,34,1.0,workspaces_finished,run_finished_markers,,,0,35,34,99892.444,27.7479,2938.013,48.9669,34,387,58,0,329,0,329,0,0.149871,35,30,30,0,0,1.610416,1.08156,1.193734,23,1.583628,1.2,1.299626,35,1.0,0.657143,0.971429,0.6,0.914286,0.542857,0.742857,0.457143,0.2,0.114286,0.142857,0.085714,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 34 finished problems, not the full batch)"
base_agent_gpt_oss_120b_deletion_unused_r2_itr30_GH200_2026_08_31_08_35,partial,2026-08-31T08:35,NVIDIA GH200 144G HBM3e,,,,,both,,,,,,,,,,,,,,30,29,28,28,1.0,workspaces_finished,run_finished_markers,,,0,29,28,100798.123,27.9995,3599.933,59.9989,28,280,47,0,233,0,233,0,0.167857,29,30,30,0,0,2.37685,1.11215,1.55611,19,2.336128,1.105263,1.481459,29,1.0,0.655172,1.0,0.62069,0.931034,0.586207,0.793103,0.482759,0.241379,0.172414,0.172414,0.172414,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 28 finished problems, not the full batch)"
base_agent_gpt_oss_120b_deletion_unused_r3_itr30_GH200_2026_08_31_08_36,partial,2026-08-31T08:36,NVIDIA GH200 144G HBM3e,,,,,both,,,,,,,,,,,,,,30,32,31,29,0.935484,workspaces_finished,run_finished_markers,,,0,32,31,99841.102,27.7336,3220.681,53.678,31,333,56,0,277,0,277,0,0.168168,32,30,30,1,1,2.13367,1.04386,1.260375,23,2.140504,1.108818,1.40576,30,0.9375,0.71875,0.9375,0.6875,0.875,0.625,0.71875,0.40625,0.1875,0.09375,0.15625,0.09375,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 31 finished problems, not the full batch)"
base_agent_gpt_oss_120b_folding_itr30_GH200_2026_08_22_21_11,complete,2026-08-24T07:04:26.637964+00:00,NVIDIA GH200 144G HBM3e,folding,gpt-oss-120b,inference,False,both,False,False,False,False,verbatim,,,,,,,,0,30,50,50,46,0.92,total_attempted,run_summary,21.272085,0.283,1,50,50,220425.384,61.2293,4408.508,73.4751,50,597,597,0,0,0,0,0,1.0,50,30,30,0,0,2.375069,1.123699,1.571006,28,2.144174,1.129778,1.442568,46,0.92,0.56,0.92,0.54,0.8,0.5,0.66,0.4,0.3,0.18,0.18,0.16,generated,
base_agent_gpt_oss_120b_itr30_GH200_2026_08_22_21_07,complete,2026-08-27T01:05:53.415214+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,False,both,False,False,False,False,verbatim,,,,,,,,0,30,50,50,45,0.9,total_attempted,run_summary,8.798752,0.641,0,50,50,222273.888,61.7427,4382.668,73.0445,1,556,556,0,0,0,0,0,1.0,50,30,30,0,0,1.935769,1.109179,1.142937,28,2.111718,1.085409,1.325016,45,0.9,0.56,0.88,0.52,0.74,0.48,0.66,0.38,0.24,0.16,0.14,0.06,generated,
