run_name,status,timestamp,hardware,context_management,model,nvidia_endpoint,skill_deletion,skill_merging,enable_skill_refinement,enable_l1_skill_unit_test_gc,max_iterations,total_attempted,total_completed,total_correct,correct_rate,correct_rate_basis,outcomes_source,best_speedup_overall,best_runtime_overall,suspicious_speedup_count,workspace_count,workspaces_finished,total_wall_time_sec,total_wall_time_hours,avg_wall_time_sec,avg_wall_time_min,problems_timed_this_session,l1_entry_count,l1_active_count,merge_count,deleted_count,refined_count,deletion_event_count,merge_events_total,catalog_compression_ratio,problem_count,iteration_count,final_iteration,hack_iteration_count,problems_with_hack,speedup_current_mean,speedup_current_median,speedup_current_geomean,speedup_current_n,speedup_best_mean,speedup_best_median,speedup_best_geomean,speedup_best_n,fast_p_best@0.0,fast_p_current@0.0,fast_p_best@0.5,fast_p_current@0.5,fast_p_best@0.8,fast_p_current@0.8,fast_p_best@1.0,fast_p_current@1.0,fast_p_best@1.5,fast_p_current@1.5,fast_p_best@2.0,fast_p_current@2.0,performance_stats_source,warnings
base_agent_gpt_oss_120b_compress_itr30_GH200_2026_08_10_15_22,complete,2026-08-10T15:22:19.856548+00:00,NVIDIA GH200 144G HBM3e,compress_trigger,gpt-oss-120b,inference,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,2.964744,0.624,0,50,50,231229.586,64.2304,4624.592,77.0765,50,435,435,0,0,0,0,0,1.0,50,30,30,32,23,1.550922,1.010471,0.74913,29,1.24279,0.758191,0.726533,48,0.96,0.58,0.64,0.36,0.46,0.36,0.4,0.32,0.18,0.14,0.14,0.14,generated,
base_agent_gpt_oss_120b_deletion_itr30_GH200_2026_08_14_15_52,complete,2026-08-14T15:52:45.412398+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,True,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,2.104987,0.381,0,50,50,240858.786,66.9052,4817.176,80.2863,50,592,25,0,567,0,567,0,0.04223,50,30,30,19,12,2.471068,1.238176,1.487413,29,1.972893,1.051334,1.231168,48,0.96,0.56,0.82,0.46,0.72,0.4,0.54,0.38,0.3,0.26,0.28,0.24,generated,
base_agent_gpt_oss_120b_folding_itr30_GH200_2026_08_13_12_47,complete,2026-08-13T12:47:44.651239+00:00,NVIDIA GH200 144G HBM3e,folding,gpt-oss-120b,inference,False,False,False,False,30,50,50,47,0.94,total_attempted,run_summary,6.369565,0.46,0,50,50,239738.233,66.594,4794.765,79.9127,50,592,592,0,0,0,0,0,1.0,50,30,30,17,12,1.730578,0.97961,0.817626,26,1.554477,0.921839,0.893779,47,0.94,0.52,0.68,0.32,0.54,0.3,0.42,0.26,0.22,0.16,0.18,0.14,generated,
base_agent_gpt_oss_120b_folding_itr30_GH200_2026_08_20_16_39,partial,2026-08-20T16:39,NVIDIA GH200 144G HBM3e,,,,,,,,30,31,30,29,0.966667,workspaces_finished,run_finished_markers,,,0,31,30,169530.906,47.0919,5651.03,94.1838,30,400,400,0,0,0,0,0,1.0,31,30,30,13,7,1.900835,0.478632,0.691866,23,1.699822,0.636371,0.753444,30,0.967742,0.741935,0.548387,0.354839,0.451613,0.322581,0.451613,0.322581,0.258065,0.258065,0.225806,0.225806,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 30 finished problems, not the full batch)"
base_agent_gpt_oss_120b_folding_itr30_GH200_2026_08_20_16_48,partial,2026-08-20T16:48,NVIDIA GH200 144G HBM3e,,,,,,,,30,32,31,26,0.83871,workspaces_finished,run_finished_markers,,,0,32,31,168410.837,46.7808,5432.608,90.5435,31,420,420,0,0,0,0,0,1.0,32,30,30,11,10,1.65747,1.011411,0.957551,16,1.430144,1.03169,0.908752,27,0.84375,0.5,0.59375,0.34375,0.5,0.34375,0.5,0.3125,0.1875,0.15625,0.15625,0.125,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 31 finished problems, not the full batch)"
base_agent_gpt_oss_120b_itr30_GH200_2026_08_07_13_58,complete,2026-08-11T06:32:46.096617+00:00,NVIDIA GH200 144G HBM3e,truncation,gpt-oss-120b,inference,False,False,False,False,30,50,50,47,0.94,total_attempted,run_summary,5.446097,0.538,0,50,50,267038.482,74.1774,5282.093,88.0349,1,571,571,0,0,0,0,0,1.0,50,30,30,16,11,1.756696,0.997583,0.875929,28,1.543667,0.939394,0.905098,47,0.94,0.56,0.72,0.38,0.5,0.34,0.46,0.28,0.24,0.14,0.18,0.14,generated,
base_agent_gpt_oss_120b_itr30_GH200_2026_08_20_16_32,partial,2026-08-20T16:32,NVIDIA GH200 144G HBM3e,,,,,,,,30,34,33,33,1.0,workspaces_finished,run_finished_markers,,,0,34,33,172508.891,47.9191,5227.542,87.1257,33,412,412,0,0,0,0,0,1.0,34,30,30,12,11,1.619069,0.781639,0.782436,20,1.522577,0.833467,0.770855,34,1.0,0.588235,0.647059,0.352941,0.529412,0.294118,0.411765,0.264706,0.235294,0.176471,0.235294,0.176471,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 33 finished problems, not the full batch)"
base_agent_gpt_oss_120b_itr30_GH200_2026_08_20_16_42,partial,2026-08-20T16:42,NVIDIA GH200 144G HBM3e,,,,,,,,30,33,32,28,0.875,workspaces_finished,run_finished_markers,,,0,33,32,167434.2,46.5095,5232.319,87.2053,32,422,422,0,0,0,0,0,1.0,33,30,30,23,13,1.797539,1.020906,0.932213,19,2.099322,1.023411,1.005496,29,0.878788,0.575758,0.606061,0.393939,0.515152,0.393939,0.454545,0.363636,0.30303,0.181818,0.30303,0.181818,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 32 finished problems, not the full batch)"
base_agent_gpt_oss_120b_markov_itr30_GH200_2026_08_07_13_58,complete,2026-08-10T14:03:52.763721+00:00,NVIDIA GH200 144G HBM3e,markov_report,gpt-oss-120b,inference,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,6.234043,0.47,0,50,50,257158.296,71.4329,5010.341,83.5057,2,366,366,0,0,0,0,0,1.0,50,30,30,14,11,1.256327,1.02243,0.922477,39,1.308924,0.964029,0.933166,48,0.96,0.78,0.78,0.66,0.6,0.48,0.46,0.4,0.16,0.14,0.14,0.12,generated,
base_agent_gpt_oss_120b_markov_itr30_GH200_2026_08_20_16_35,partial,2026-08-20T16:35,NVIDIA GH200 144G HBM3e,,,,,,,,30,33,32,31,0.96875,workspaces_finished,run_finished_markers,,,0,33,32,168967.523,46.9354,5280.235,88.0039,32,253,253,0,0,0,0,0,1.0,33,30,30,9,6,0.98359,0.755515,0.538863,21,0.972432,0.921199,0.624763,32,0.969697,0.636364,0.727273,0.363636,0.575758,0.272727,0.424242,0.212121,0.060606,0.060606,0.060606,0.060606,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 32 finished problems, not the full batch)"
