run_name,status,timestamp,hardware,context_management,model,nvidia_endpoint,skill_deletion,skill_merging,enable_skill_refinement,enable_l1_skill_unit_test_gc,max_iterations,total_attempted,total_completed,total_correct,correct_rate,correct_rate_basis,outcomes_source,best_speedup_overall,best_runtime_overall,suspicious_speedup_count,workspace_count,workspaces_finished,total_wall_time_sec,total_wall_time_hours,avg_wall_time_sec,avg_wall_time_min,problems_timed_this_session,l1_entry_count,l1_active_count,merge_count,deleted_count,refined_count,deletion_event_count,merge_events_total,catalog_compression_ratio,problem_count,iteration_count,final_iteration,hack_iteration_count,problems_with_hack,speedup_current_mean,speedup_current_median,speedup_current_geomean,speedup_current_n,speedup_best_mean,speedup_best_median,speedup_best_geomean,speedup_best_n,fast_p_best@0.0,fast_p_current@0.0,fast_p_best@0.5,fast_p_current@0.5,fast_p_best@0.8,fast_p_current@0.8,fast_p_best@1.0,fast_p_current@1.0,fast_p_best@1.5,fast_p_current@1.5,fast_p_best@2.0,fast_p_current@2.0,performance_stats_source,warnings
base_agent_gpt_oss_120b_itr30_2026_08_02_17_58,complete,2026-08-13T13:17:09.601562+00:00,NVIDIA RTX A6000,truncation,gpt-oss-120b,inference,False,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,1.289062,1.28,0,50,50,238280.215,66.1889,4714.726,78.5788,1,561,561,0,0,0,0,0,1.0,50,30,30,13,8,1.709351,1.307603,1.280476,32,1.611135,1.252288,1.385453,49,0.98,0.64,0.98,0.6,0.88,0.58,0.72,0.46,0.32,0.26,0.24,0.18,cached,
base_agent_gpt_oss_120b_itr30_2026_08_18_16_42,complete,2026-08-18T16:42:23.413711+00:00,NVIDIA RTX A6000,truncation,gpt-oss-120b,inference,False,False,False,False,30,50,50,43,0.86,total_attempted,run_summary,2.704698,1.49,0,50,50,204520.62,56.8113,4090.412,68.1735,50,542,542,0,0,0,0,0,1.0,50,30,30,20,17,1.411005,1.2263,1.182061,25,1.36147,1.025701,1.128143,43,0.86,0.5,0.84,0.44,0.64,0.4,0.48,0.36,0.18,0.14,0.12,0.08,generated,
base_agent_gpt_oss_120b_itr30_2026_08_20_15_44,complete,2026-08-20T15:44:49.570205+00:00,NVIDIA RTX A6000,truncation,gpt-oss-120b,inference,False,False,False,False,30,50,50,50,1.0,total_attempted,run_summary,4.373464,0.407,0,50,50,295080.518,81.9668,5901.61,98.3602,50,544,544,0,0,0,0,0,1.0,50,30,30,29,12,1.652267,1.156522,1.325494,33,1.598788,1.194418,1.314486,50,1.0,0.66,0.94,0.62,0.84,0.54,0.68,0.44,0.34,0.18,0.22,0.18,generated,
base_agent_oss120b_compaction_opencode_itr30_2026_08_23_11_59,partial,2026-08-23T11:59,NVIDIA RTX A6000,,,,,,,,30,23,22,22,1.0,workspaces_finished,run_finished_markers,,,0,23,22,90065.929,25.0183,4093.906,68.2318,22,183,183,0,0,0,0,0,1.0,23,30,30,7,6,1.909679,1.292237,1.681491,17,1.753157,1.192308,1.528779,23,1.0,0.73913,1.0,0.73913,0.956522,0.73913,0.782609,0.695652,0.391304,0.347826,0.347826,0.304348,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 22 finished problems, not the full batch)"
base_agent_oss120b_compress_trigger_hot15_itr30_2026_08_17_15_55,complete,2026-08-17T15:55:54.699480+00:00,NVIDIA RTX A6000,compress_trigger,gpt-oss-120b,inference,False,False,False,False,30,50,50,46,0.92,total_attempted,run_summary,1.32,1.25,0,50,50,207431.859,57.62,4148.637,69.144,50,401,401,0,0,0,0,0,1.0,50,30,30,39,18,1.368934,1.1079,1.124678,30,1.334206,1.057643,1.15525,46,0.92,0.6,0.9,0.56,0.82,0.5,0.56,0.4,0.14,0.08,0.08,0.06,generated,
base_agent_oss120b_deletion_itr30_2026_08_02_17_57,complete,2026-08-13T22:01:38.942837+00:00,NVIDIA RTX A6000,truncation,gpt-oss-120b,inference,True,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,1.363636,1.21,0,50,50,286382.73,79.5508,5381.504,89.6917,1,576,28,0,548,0,568,0,0.048611,50,30,30,16,14,1.303476,1.032973,1.118035,32,1.412363,1.139434,1.251767,49,0.98,0.64,0.96,0.58,0.84,0.48,0.64,0.38,0.34,0.2,0.18,0.12,cached,
base_agent_oss120b_folding_itr30_2026_08_09_13_47,complete,2026-08-13T10:21:45.870521+00:00,NVIDIA RTX A6000,folding,gpt-oss-120b,inference,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,1.330645,1.24,0,50,50,324273.603,90.076,6466.934,107.7822,1,601,601,0,0,0,0,0,1.0,50,30,30,21,11,1.57288,1.034409,1.055078,33,1.495547,1.076556,1.224275,48,0.96,0.66,0.9,0.56,0.76,0.42,0.6,0.36,0.26,0.24,0.22,0.22,cached,
base_agent_oss120b_folding_itr30_t2_2026_08_20_15_47,complete,2026-08-20T15:47:39.258923+00:00,NVIDIA RTX A6000,folding,gpt-oss-120b,inference,False,False,False,False,30,50,50,47,0.94,total_attempted,run_summary,1.330645,1.24,0,50,50,314711.955,87.42,6294.239,104.904,50,582,582,0,0,0,0,0,1.0,50,30,30,12,11,1.534578,1.205128,1.130646,27,1.42524,1.14472,1.195159,47,0.94,0.54,0.9,0.48,0.74,0.42,0.6,0.38,0.2,0.14,0.16,0.12,generated,
base_agent_oss120b_folding_itr30_t3_2026_08_20_15_47,complete,2026-08-20T15:47:40.059322+00:00,NVIDIA RTX A6000,folding,gpt-oss-120b,inference,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,1.363636,1.21,0,50,50,300077.931,83.355,6001.559,100.026,50,614,614,0,0,0,0,0,1.0,50,30,30,29,12,1.683782,1.156345,1.272378,34,1.695715,1.116537,1.31756,48,0.96,0.68,0.94,0.66,0.8,0.52,0.6,0.42,0.26,0.18,0.2,0.14,generated,
base_agent_oss120b_l2_verbatim_itr30_2026_08_23_11_59,partial,2026-08-23T11:59,NVIDIA RTX A6000,,,,,,,,30,22,21,19,0.904762,workspaces_finished,run_finished_markers,,,0,22,21,92420.515,25.6724,4400.977,73.3496,21,259,259,0,0,0,0,0,1.0,22,30,30,5,5,1.740014,1.134434,1.234893,13,1.783437,1.232416,1.515464,20,0.909091,0.590909,0.909091,0.5,0.909091,0.454545,0.681818,0.454545,0.363636,0.227273,0.227273,0.181818,generated,"run_summary.json missing (run still in progress or aborted) | total_correct derived from workspaces/*/run_finished.json (correct_rate is over 21 finished problems, not the full batch)"
