run_name,status,timestamp,hardware,context_management,model,nvidia_endpoint,skill_deletion,skill_merging,enable_skill_refinement,enable_l1_skill_unit_test_gc,max_iterations,total_attempted,total_completed,total_correct,correct_rate,correct_rate_basis,outcomes_source,best_speedup_overall,best_runtime_overall,suspicious_speedup_count,workspace_count,workspaces_finished,total_wall_time_sec,total_wall_time_hours,avg_wall_time_sec,avg_wall_time_min,problems_timed_this_session,l1_entry_count,l1_active_count,merge_count,deleted_count,refined_count,deletion_event_count,merge_events_total,catalog_compression_ratio,problem_count,iteration_count,final_iteration,hack_iteration_count,problems_with_hack,speedup_current_mean,speedup_current_median,speedup_current_geomean,speedup_current_n,speedup_best_mean,speedup_best_median,speedup_best_geomean,speedup_best_n,fast_p_best@0.0,fast_p_current@0.0,fast_p_best@0.5,fast_p_current@0.5,fast_p_best@0.8,fast_p_current@0.8,fast_p_best@1.0,fast_p_current@1.0,fast_p_best@1.5,fast_p_current@1.5,fast_p_best@2.0,fast_p_current@2.0,performance_stats_source,warnings
base_agent_markov_report_itr30_2026_07_21_17_11,complete,2026-07-21T17:11:00.647881+00:00,NVIDIA RTX A6000,markov_report,,,False,False,False,False,30,50,50,48,0.96,total_attempted,run_summary,6.626324,6.61,0,50,50,181202.863,50.3341,3624.057,60.4009,50,375,375,0,0,0,0,0,1.0,50,30,30,20,15,1.100541,1.01411,0.84096,42,1.234002,1.077465,1.041297,35,0.96,0.84,0.86,0.72,0.76,0.64,0.66,0.48,0.06,0.04,0.04,0.04,cached,
base_agent_folding_itr30_2026_07_28_01_09,complete,2026-07-29T11:38:52.354471+00:00,NVIDIA RTX A6000,folding,,,False,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,6.134454,7.14,0,50,50,224691.667,62.4144,4780.674,79.6779,47,570,570,0,0,0,0,0,1.0,50,30,30,12,10,1.47158,1.126437,1.123472,33,1.328551,0.978193,1.067009,39,0.98,0.66,0.9,0.62,0.68,0.54,0.48,0.36,0.2,0.18,0.12,0.12,cached,
base_agent_selective_retention_itr30_2026_07_24_17_17,complete,2026-07-26T15:42:58.964703+00:00,NVIDIA RTX A6000,selective_retention,,,False,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,6.656535,6.58,0,50,50,207707.766,57.6966,14836.269,247.2712,14,412,412,0,0,0,0,0,1.0,50,30,30,18,13,1.467847,1.052516,1.175739,43,1.476704,1.10079,1.255895,36,0.98,0.86,0.96,0.8,0.82,0.68,0.66,0.54,0.24,0.18,0.16,0.18,cached,
base_agent_selective_retention_itr30_2026_07_26_15_43,complete,2026-07-30T13:10:11.408481+00:00,NVIDIA RTX A6000,selective_retention,,,False,False,False,False,30,50,50,49,0.98,total_attempted,run_summary,5.991792,7.31,0,50,50,214401.604,59.556,12611.859,210.1977,17,531,531,0,0,0,0,0,1.0,50,30,30,11,8,1.268917,0.96008,0.957566,37,1.322551,1.028846,1.052328,41,0.98,0.74,0.9,0.62,0.7,0.46,0.52,0.32,0.26,0.18,0.14,0.1,cached,
base_agent_with_merge_only_sim_07_itr30_2026_07_14_13_53,complete,2026-07-14T13:53:41.995893+00:00,NVIDIA RTX A6000,,,,False,True,,False,30,50,50,49,0.98,total_attempted,run_summary,9.329268,1.64,0,50,50,187964.457,52.2123,3759.289,62.6548,50,591,241,75,0,0,0,208,0.407783,50,30,30,30,17,1.516446,1.066445,1.226489,35,1.300694,1.166667,1.224246,33,0.98,0.7,0.96,0.7,0.9,0.58,0.68,0.4,0.14,0.12,0.12,0.12,cached,
base_agent_with_merge_only_sim_08_itr30_2026_07_14_13_52,complete,2026-07-14T13:52:53.724381+00:00,NVIDIA RTX A6000,,,,False,True,,False,30,50,50,48,0.96,total_attempted,run_summary,5.551331,7.89,0,50,50,186879.219,51.9109,3737.584,62.2931,50,554,448,39,0,0,0,119,0.808664,50,30,30,17,8,1.201316,1.043269,1.033895,25,1.252981,1.085106,1.100085,41,0.96,0.5,0.9,0.46,0.78,0.42,0.58,0.34,0.1,0.04,0.08,0.02,cached,
base_agent_with_deletion_old_prompt_only_test_promoted_refine_itr30_2026_07_14_14_13,complete,2026-07-14T14:13:08.947431+00:00,NVIDIA RTX A6000,,,,True,False,,False,30,50,50,50,1.0,total_attempted,run_summary,6.626324,6.61,0,50,50,205835.294,57.1765,4116.706,68.6118,50,516,28,0,435,57,455,0,0.054264,50,30,30,13,8,1.419762,1.085077,1.137197,35,1.321876,1.065334,1.132427,42,1.0,0.7,0.96,0.62,0.84,0.6,0.66,0.42,0.22,0.18,0.12,0.12,cached,
base_agent_with_deletion_old_prompt_only_test_promoted_merge_sim_08_itr30_2026_07_17_15_45,complete,2026-07-25T02:52:17.434305+00:00,NVIDIA RTX A6000,truncation,,,True,True,False,False,30,50,50,49,0.98,total_attempted,run_summary,6.083333,7.2,0,50,50,214033.264,59.4537,42806.653,713.4442,5,509,28,6,466,0,607,16,0.05501,50,30,30,14,11,1.510819,1.217436,1.298954,38,1.440213,1.158407,1.262637,38,0.98,0.76,0.98,0.74,0.86,0.64,0.74,0.54,0.2,0.18,0.12,0.14,cached,
base_agent_with_deletion_old_prompt_only_test_promoted_merge_refine_sim_07_itr30_2026_07_17_15_48,complete,2026-07-25T16:28:37.863666+00:00,NVIDIA RTX A6000,truncation,,,True,True,True,False,30,50,50,49,0.98,total_attempted,run_summary,8.052632,1.9,0,50,50,214868.052,59.6856,71622.684,1193.7114,3,602,18,27,452,64,559,62,0.0299,50,30,30,11,8,1.7035,1.085393,1.352052,41,1.377633,1.104352,1.237316,42,0.98,0.82,0.98,0.82,0.88,0.72,0.68,0.48,0.2,0.22,0.12,0.18,cached,
base_agent_with_deletion_old_prompt_only_test_promoted_merge_refine_sim_08_itr30_2026_07_18_05_24,complete,2026-07-21T17:06:20.868658+00:00,NVIDIA RTX A6000,truncation,,,True,True,True,False,30,50,50,50,1.0,total_attempted,run_summary,3.865132,6.08,0,50,50,218466.811,60.6852,9498.557,158.3093,23,589,30,7,476,72,596,14,0.050934,50,30,30,14,10,1.222556,1.046053,1.112954,34,1.345274,1.084992,1.19873,40,1.0,0.68,0.98,0.66,0.84,0.58,0.68,0.38,0.24,0.14,0.16,0.08,cached,
