problem_id,level,type,score,step5_correct,step20_correct,step5_runtime,step20_runtime,runtime_improvement_pct,difficulty_flag
100,1,A,0.95,False,True,,7.69,0.0,False
22,1,A,0.95,False,True,,0.396,0.0,False
26,1,A,0.95,False,True,,0.201,0.0,False
33,1,A,0.95,False,True,,20.9,0.0,False
34,1,A,0.95,False,True,,2.43,0.0,False
50,1,A,0.95,False,True,,4.7,0.0,False
54,1,A,0.95,False,True,,5.16,0.0,False
55,1,A,0.95,False,True,,13.4,0.0,False
56,1,A,0.95,False,True,,13.0,0.0,False
58,1,A,0.95,False,True,,15.6,0.0,False
11,2,A,0.95,False,True,,9.56,0.0,False
13,2,A,0.95,False,True,,34.0,0.0,False
19,2,A,0.95,False,True,,48.2,0.0,False
3,2,A,0.95,False,True,,25.9,0.0,False
32,2,A,0.95,False,True,,21.8,0.0,False
37,2,A,0.95,False,True,,19.2,0.0,False
41,2,A,0.95,False,True,,30.2,0.0,False
42,2,A,0.95,False,True,,974.0,0.0,False
51,2,A,0.95,False,True,,14.6,0.0,False
56,2,A,0.95,False,True,,16.2,0.0,False
72,2,A,0.95,False,True,,29.9,0.0,False
90,2,A,0.95,False,True,,24.0,0.0,False
94,2,A,0.95,False,True,,7.43,0.0,False
97,2,A,0.95,False,True,,7.14,0.0,False
10,2,B,0.7,True,True,43.8,34.9,20.319634703196346,False
24,3,A,0.95,False,True,,0.689,0.0,False
28,3,A,0.95,False,True,,4.69,0.0,False
35,3,A,0.95,False,True,,38.4,0.0,False
45,3,A,0.95,False,True,,19.4,0.0,False
46,3,A,0.95,False,True,,5.2,0.0,False
50,3,A,0.95,False,True,,15.3,0.0,False
10,3,B,0.7,True,True,25.7,20.2,21.400778210116734,False
16,3,B,0.7,True,True,39.0,24.7,36.66666666666667,False
17,3,B,0.7,True,True,126.0,49.4,60.79365079365079,False
19,3,B,0.7,True,True,5.6,4.32,22.857142857142847,False
2,3,B,0.7,True,True,9660.0,33.5,99.65320910973084,False
20,3,B,0.7,True,True,10.9,8.47,22.29357798165137,False
22,3,B,0.7,True,True,9.51,6.13,35.54153522607781,False
29,3,B,0.7,True,True,13.6,9.73,28.45588235294117,False
3,3,B,0.7,True,True,311.0,22.4,92.79742765273312,False
32,3,B,0.7,True,True,5.98,4.65,22.240802675585282,False
34,3,B,0.7,True,True,58.9,32.7,44.482173174872656,False
37,3,B,0.7,True,True,42.1,27.4,34.91686460807601,False
4,3,B,0.7,True,True,1.98,1.31,33.838383838383834,False
42,3,B,0.7,True,True,85.0,64.2,24.470588235294112,False
43,3,B,0.7,True,True,224.0,36.4,83.75,False
48,3,B,0.7,True,True,71.5,31.2,56.36363636363636,False
49,3,B,0.7,True,True,23.1,18.3,20.77922077922078,False
5,3,B,0.7,True,True,154.0,75.5,50.97402597402597,False
9,3,B,0.7,True,True,4.45,3.37,24.269662921348313,False
